,index,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
479,19,480,ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.72B,-,61.36,3.11%,310658,480,3.72B,-,-40.90%,-45.00%,-36.70%,15.30,15.30,0.04,0.04,-,-,-,Aug 05/a,61.36,3.11%,310658,-,-,-,65256.90,3.84,3.83,-,-196.10%,4.10%,-9.90%,-,-52.60%,60.79M,56.50M,0.30%,-7.96%,94.80%,1.27%,4.15%,4.79,488.87K,2.27%,3.75%,-9.82%,-5.25%,-23.30%,-20.14%,4.61%,3.37%,1.70,488.87K,0.64,0.44,2.24,2.62%,8.73%,-8.54%,-31.97%,34.86%,59.32,3.11%,0.00%
480,0,481,ARNC,Arconic Corporation,Industrials,Metal Fabrication,USA,3.30B,-,31.16,-2.20%,268250,481,3.30B,-,-6.80%,-28.90%,2.90%,1.60,0.90,0.99,0.00,14.00%,-5.70%,-6.80%,Aug 03/b,31.16,-2.20%,268250,-,10.53,-,0.52,2.12,6.12,-,-161.60%,2073.30%,-,12.66%,-4.20%,110.00M,108.71M,1.20%,-0.34%,99.90%,4.25%,4.36%,7.23,655.94K,-4.27%,-10.41%,-13.32%,17.81%,42.02%,4.56%,3.71%,3.98%,2.40,655.94K,0.41,-,1.37,-3.90%,-8.10%,-0.54%,-19.04%,49.23%,42.64,-2.50%,0.31%
481,1,482,AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,USA,1.29B,36.87,8.59,1.78%,523214,482,1.29B,6.75%,1.30%,3.80%,1.00%,1.50,1.00,1.76,1.76,56.30%,17.00%,4.40%,Jul 30/b,8.59,1.78%,523214,36.87,23.34,-,1.62,1.43,389.62,9.18,-166.10%,60.00%,28.30%,-12.91%,-2.60%,152.03M,133.26M,1.60%,-13.81%,81.30%,-0.60%,2.39%,4.13,772.42K,1.18%,17.67%,-2.05%,-8.23%,45.59%,-0.81%,3.09%,3.30%,2.00,772.42K,0.68,2.11,0.28,7.13%,8.46%,-4.75%,-20.46%,59.67%,61.27,1.66%,0.12%
482,2,483,AROW,Arrow Financial Corporation,Financial,Banks - Regional,USA,556.75M,11.46,35.85,0.25%,8996,483,556.75M,2.90%,1.30%,14.80%,21.90%,-,-,0.07,0.07,-,90.90%,44.30%,-,35.85,0.25%,8996,11.46,12.67,1.66,4.92,1.63,1.15,12.34,8.60%,-12.38%,9.90%,6.90%,9.60%,16.02M,15.01M,3.40%,-1.09%,45.70%,2.06%,0.84%,5.16,24.59K,1.01%,3.64%,2.03%,8.32%,35.96%,23.46%,1.71%,2.58%,-,24.59K,0.37,0.70,0.85,4.38%,2.88%,6.91%,-3.49%,41.64%,58.66,-0.06%,0.31%
483,3,484,ARQQ,Arqit Quantum Inc.,Technology,Software - Infrastructure,United Kingdom,2.72B,-,17.68,-6.26%,1232004,484,2.72B,-,-,-,-,0.60,0.60,0.00,0.00,-,-,-,-,17.68,-6.26%,1232004,-,-,-,-,2.45,3398.76,-,-,-,-,-,-,43.12M,-,6.15%,0.00%,21.50%,231.32%,-,0.29,1.13M,-3.39%,24.51%,78.27%,-,-,84.17%,16.76%,26.71%,-,1.13M,1.09,-,4.72,-15.05%,22.83%,51.17%,-57.42%,121.00%,48.43,-5.00%,-1.33%
484,4,485,ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,1.06B,-,22.34,-3.12%,56998,485,1.06B,-,-42.90%,-45.90%,-,32.00,32.00,0.00,0.00,-,-,-,Aug 05/a,22.34,-3.12%,56998,-,-,-,-,2.69,2.60,-,-231.80%,-18.80%,-,9.80%,-,50.00M,47.74M,3.30%,-3.54%,91.00%,-2.87%,4.33%,12.53,165.02K,-11.38%,0.36%,-17.44%,-17.56%,-8.22%,-20.58%,5.72%,5.85%,1.90,165.02K,0.35,-,1.38,-2.70%,1.69%,-18.24%,-41.96%,27.58%,46.81,-2.27%,-0.87%
485,5,486,ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,USA,897.46M,5.08,10.95,0.27%,1261271,486,897.46M,10.96%,2.40%,13.30%,-,-,-,0.00,3.30,-,-,72.00%,Jul 22/a,10.95,0.27%,1261271,5.08,9.95,-,4.90,0.75,1.79,20.17,22.30%,10.55%,-26.60%,-2.35%,-,76.06M,-,0.90%,-10.87%,53.70%,16.99%,-,2.58,1.69M,0.18%,0.55%,-5.77%,-11.91%,9.50%,1.48%,1.46%,1.36%,3.00,1.69M,0.75,0.99,0.15,0.89%,2.08%,-4.47%,-12.82%,17.43%,55.05,0.37%,-0.09%
486,6,487,ARRW,Arrowroot Acquisition Corp.,Financial,Shell Companies,USA,350.07M,-,9.70,0.00%,3215,487,350.07M,-,-,-,-,10.10,10.10,0.00,0.00,-,-,-,-,9.70,0.00%,3215,-,-,-,-,1.34,583.45,-,-,-,-,-,-,35.94M,28.75M,-,-,56.40%,391.93%,0.02%,0.18,29.60K,0.31%,0.41%,0.41%,-,-,0.41%,0.10%,0.14%,-,29.60K,0.11,-,0.02,0.29%,0.45%,0.34%,-1.72%,0.94%,56.63,0.00%,0.00%
487,7,488,ARRWU,Arrowroot Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.01,0.35%,388,488,-,-,-,-,-,-,-,-,-,-,-,-,-,10.01,0.35%,388,-,-,-,-,-,-,-,-,-,-,-,-,-,28.04M,-,-,37.68%,-,0.01%,0.05,45.71K,1.11%,0.30%,0.60%,-,-,0.10%,0.00%,0.21%,-,45.71K,0.01,-,0.05,0.76%,0.21%,0.23%,-1.77%,2.14%,56.18,0.00%,0.35%
488,8,489,ARRY,"Array Technologies, Inc.",Technology,Solar,USA,2.39B,-,18.39,1.21%,2598628,489,2.39B,-,-2.30%,-35.90%,20.10%,2.00,1.10,-,-,17.30%,1.50%,-1.80%,Aug 11/a,18.39,1.21%,2598628,-,28.78,-,3.11,-,135.01,-,38.00%,200.00%,-,-1.29%,-,126.99M,125.60M,0.60%,1.33%,-,-5.21%,6.10%,2.80,2.74M,1.60%,-2.44%,15.52%,-37.81%,-,-57.37%,6.17%,5.37%,2.30,2.74M,0.95,-,0.98,2.69%,5.66%,-29.52%,-66.43%,44.58%,54.15,1.16%,0.06%
489,9,490,ARTL,"Artelo Biosciences, Inc.",Healthcare,Biotechnology,USA,18.39M,-,0.74,-1.27%,115647,490,18.39M,-,-66.30%,-69.80%,-,24.30,24.30,0.00,0.00,-,-,-,-,0.74,-1.27%,115647,-,-,-,-,1.42,-,-,-25.60%,9.30%,-,-,-,23.11M,21.55M,1.10%,3.21%,19.50%,42.27%,5.58%,3.94,305.32K,-5.19%,-15.97%,-32.77%,-46.41%,-18.74%,1.30%,4.74%,4.51%,1.50,305.32K,0.38,3.27,0.04,-8.46%,-15.46%,-39.61%,-79.85%,63.97%,33.82,-2.70%,1.47%
490,10,491,ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,USA,359.45M,21.30,38.28,-0.67%,8956,491,359.45M,2.72%,2.80%,9.90%,6.50%,0.30,0.30,0.83,1.00,-,31.10%,18.80%,-,38.28,-0.67%,8956,21.30,19.14,5.33,4.00,2.09,898.62,-,12.20%,14.29%,7.40%,4.00%,2.70%,9.39M,8.39M,4.59%,-1.53%,52.50%,-2.97%,0.69%,3.12,18.66K,0.24%,0.66%,2.65%,-4.82%,9.06%,3.24%,1.41%,2.19%,2.00,18.66K,0.48,0.06,0.79,0.57%,-0.83%,-1.93%,-10.35%,10.96%,49.30,-1.14%,0.47%
491,11,492,ARTW,"Art's-Way Manufacturing Co., Inc.",Industrials,Farm & Heavy Construction Machinery,USA,16.57M,-,3.65,-0.41%,7625,492,16.57M,-,-5.80%,-11.30%,-20.20%,1.50,0.30,0.28,0.70,13.90%,-11.60%,-4.80%,-,3.65,-0.41%,7625,-,-,-,0.72,1.69,-,-,-44.20%,-,-44.40%,-,-3.20%,4.52M,2.00M,4.50%,0.00%,6.10%,0.73%,0.24%,0.10,46.73K,1.67%,7.87%,-9.65%,15.87%,52.72%,26.74%,4.74%,4.92%,-,46.73K,0.16,0.34,0.16,5.90%,4.75%,10.15%,-33.41%,64.41%,58.03,1.11%,-1.50%
492,12,493,ARVL,Arrival,Consumer Cyclical,Auto Manufacturers,Luxembourg,8.82B,-,14.46,6.09%,1310662,493,8.82B,-,-,-,-,7.40,7.20,0.15,0.16,-,-,-,Aug 12/b,14.46,6.09%,1310662,-,-,-,-,9.77,17.11,-,-73.00%,82.20%,-,-,-,606.16M,163.96M,75.87%,0.00%,9.90%,23.84%,8.91%,7.74,1.89M,8.07%,16.24%,-3.60%,2.41%,44.74%,-48.58%,7.58%,5.08%,1.70,1.89M,0.69,-,0.70,12.42%,18.21%,-22.85%,-61.11%,45.77%,65.07,6.95%,-0.81%
493,13,494,ARVN,"Arvinas, Inc.",Healthcare,Biotechnology,USA,4.18B,-,82.25,-1.79%,158335,494,4.18B,-,-28.30%,-32.00%,-,15.00,15.00,0.00,0.00,-,-,-,-,82.25,-1.79%,158335,-,-,-,199.84,6.89,6.96,-,-41.40%,-1060.00%,-,-3.20%,-,48.86M,43.16M,2.30%,-33.56%,87.40%,5.29%,5.74%,5.66,438.14K,-3.47%,-13.48%,1.96%,36.06%,214.53%,-3.16%,3.24%,4.03%,1.60,438.14K,0.36,-,3.59,-8.09%,-8.71%,4.86%,-24.17%,317.94%,39.06,-1.85%,0.06%
494,14,495,ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,USA,8.23B,10.52,117.34,0.07%,362568,495,8.23B,-,5.20%,16.80%,9.80%,1.40,1.00,0.36,0.43,11.20%,3.70%,2.60%,Aug 05/b,117.34,0.07%,362568,10.52,7.96,0.42,0.25,1.67,33.71,12.73,406.20%,7.70%,7.40%,25.30%,4.30%,73.69M,71.22M,0.40%,-47.24%,98.00%,-2.96%,2.26%,3.67,439.83K,2.03%,1.74%,3.72%,0.85%,40.27%,20.60%,1.92%,2.20%,3.00,439.83K,0.82,1.53,2.55,3.04%,0.59%,4.88%,-5.95%,53.47%,56.48,-0.52%,0.59%
495,15,496,ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,6.27B,-,60.33,2.29%,708668,496,6.27B,-,-20.00%,-28.00%,-20.20%,2.70,2.70,0.00,0.00,-,-,-,Aug 05/a,60.33,2.29%,708668,-,-,-,58.30,14.36,12.15,37.52,-221.80%,40.70%,12.10%,7.33%,196.80%,104.10M,100.63M,0.20%,-10.01%,65.60%,-2.04%,2.89%,5.07,573.70K,-3.63%,-7.60%,-8.29%,-3.90%,25.66%,-21.37%,3.57%,3.70%,2.20,573.70K,1.24,1.26,2.31,-3.57%,-5.16%,-16.40%,-35.59%,36.22%,42.99,1.86%,0.42%
496,16,497,ARYD,ARYA Sciences Acquisition Corp IV,Financial,Shell Companies,USA,191.99M,-,10.01,0.20%,5588,497,191.99M,-,-,-,-,7.00,7.00,0.00,0.00,-,-,-,-,10.01,0.20%,5588,-,-,-,-,1.32,239.99,-,-,-,-,-,-,19.19M,14.95M,3.23%,0.00%,88.50%,-3.69%,0.03%,0.03,133.95K,-0.40%,1.83%,-7.83%,-5.92%,-,-10.06%,0.88%,0.96%,-,133.95K,0.04,-,0.11,0.58%,0.26%,-4.05%,-19.14%,2.88%,52.76,1.01%,-0.80%
497,17,498,ASA,ASA Gold and Precious Metals Limited,Financial,Asset Management,USA,383.68M,2.46,19.89,1.07%,36422,498,383.68M,0.10%,-,-,-,-,-,-,-,-,-,-,-,19.89,1.07%,36422,2.46,-,-,168.94,0.89,-,-,-,-,-,-,-,19.29M,19.23M,0.30%,0.10%,45.45%,-,0.23%,0.79,56.61K,5.35%,-3.26%,-3.31%,-4.92%,-6.22%,-9.05%,2.40%,2.05%,-,56.61K,0.64,-,0.45,2.22%,-2.51%,-6.79%,-19.47%,8.63%,53.63,-0.40%,1.47%
498,18,499,ASAI,Sendas Distribuidora S.A.,Consumer Defensive,Grocery Stores,Brazil,4.32B,3.50,16.37,-4.31%,147292,499,4.32B,0.38%,-,-,13.60%,1.20,0.70,5.33,6.59,16.70%,-,-,-,16.37,-4.31%,147292,3.50,16.45,0.16,0.60,2.49,5.21,-,-3.00%,13.07%,-,22.40%,-,268.90M,158.10M,-,-,6.00%,-20.43%,0.12%,0.96,191.42K,-8.11%,-5.46%,-1.32%,22.11%,-,26.24%,2.94%,2.96%,1.50,191.42K,0.77,-,0.61,-7.33%,-4.24%,3.01%,-11.53%,43.33%,38.79,-5.21%,0.95%
499,19,500,ASAN,"Asana, Inc.",Technology,Software - Application,USA,19.77B,-,105.45,-3.14%,1775259,500,19.77B,-,-36.50%,-428.10%,-47.90%,2.10,2.10,0.13,0.14,88.70%,-75.90%,-89.90%,Sep 01/a,105.45,-3.14%,1775259,-,-,-,67.37,64.30,52.91,-,-70.90%,1.00%,-,-,-,170.60M,71.51M,7.40%,42.86%,73.60%,9.77%,6.94%,2.18,2.28M,3.51%,8.31%,57.53%,211.71%,297.47%,256.85%,5.83%,6.21%,1.90,2.28M,0.78,-,6.69,-3.83%,16.14%,99.39%,-15.54%,412.64%,53.39,-3.94%,0.83%
500,0,501,ASAXU,Astrea Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.20,0.29%,37,501,-,-,-,-,-,-,-,-,-,-,-,-,-,10.20,0.29%,37,-,-,-,-,-,-,-,-,-,-,-,-,-,4.19M,-,-,63.91%,-,0.05%,0.09,22.84K,-0.10%,1.49%,2.93%,1.49%,-,-0.29%,1.15%,0.59%,-,22.84K,0.00,-,0.13,0.48%,1.15%,1.60%,-4.14%,14.61%,51.21,0.00%,0.29%
501,1,502,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,3.32B,12.40,22.24,-0.13%,778534,502,3.32B,3.60%,0.80%,7.30%,17.30%,-,-,0.14,0.00,-,95.50%,33.50%,Oct 21/a,22.24,-0.13%,778534,12.40,13.75,2.07,4.04,0.89,1.69,10.02,-2.50%,-18.95%,9.40%,6.00%,3.90%,152.04M,149.25M,0.80%,-5.09%,82.80%,5.91%,3.50%,3.87,1.35M,1.18%,10.59%,10.04%,1.28%,55.52%,30.44%,1.82%,2.41%,3.00,1.35M,0.58,1.15,0.51,5.30%,7.14%,7.01%,-7.12%,68.87%,63.89,0.18%,-0.31%
502,2,503,ASC,Ardmore Shipping Corporation,Energy,Oil & Gas Midstream,Bermuda,132.19M,-,3.94,5.35%,352434,503,132.19M,1.27%,-5.80%,-13.40%,2.50%,1.50,1.40,1.10,1.22,22.30%,-11.20%,-23.80%,Jul 27/b,3.94,5.35%,352434,-,25.10,-,0.74,0.43,2.39,8.70,73.70%,119.50%,-16.50%,42.64%,6.90%,33.50M,32.98M,-,-,67.20%,-12.02%,1.07%,1.34,264.39K,-7.29%,7.36%,2.07%,1.29%,9.44%,20.49%,4.75%,4.74%,1.70,264.39K,1.33,0.89,0.19,5.39%,11.88%,0.29%,-27.44%,50.96%,55.83,3.68%,1.60%
503,3,504,ASEA,Global X FTSE Southeast Asia ETF,Financial,Exchange Traded Fund,USA,-,-,14.88,0.38%,2614,504,-,1.82%,-,-,-,-,-,-,-,-,-,-,-,14.88,0.38%,2614,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.98K,2.77%,2.17%,5.65%,1.47%,23.25%,2.80%,0.80%,0.71%,-,9.98K,0.26,-,0.14,3.16%,4.27%,2.10%,-2.77%,27.91%,67.91,-0.50%,0.88%
504,4,505,ASET,FlexShares Real Assets Allocation Index Fund,Financial,Exchange Traded Fund,USA,-,-,32.88,-0.08%,676,505,-,1.61%,-,-,-,-,-,-,-,-,-,-,-,32.88,-0.08%,676,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.19,1.57K,1.09%,-1.63%,-0.99%,5.16%,21.97%,11.17%,0.37%,0.48%,-,1.57K,0.43,-,0.27,0.45%,-0.69%,2.38%,-4.69%,27.55%,50.89,-0.11%,0.03%
505,5,506,ASG,"Liberty All-Star Growth Fund, Inc.",Financial,Closed-End Fund - Equity,USA,367.16M,3.42,8.61,-0.58%,229686,506,367.16M,8.83%,-,-,-,-,-,-,-,-,-,-,-,8.61,-0.58%,229686,3.42,-,-,225.02,1.08,-,-,-,-,-,-,-,42.64M,-,4.24%,0.13%,19.06%,-,-,0.15,250.49K,-0.92%,-2.93%,-0.35%,-0.35%,15.69%,5.00%,1.45%,1.33%,-,250.49K,0.92,-,0.12,-1.62%,-0.92%,-1.92%,-8.89%,24.16%,43.79,-1.49%,0.92%
506,6,507,ASGI,Aberdeen Standard Global Infrastructure Income Fund,Financial,Exchange Traded Fund,USA,-,-,20.54,0.54%,35610,507,-,-,-,-,-,-,-,-,-,-,-,-,-,20.54,0.54%,35610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.56K,3.06%,-2.28%,-4.11%,4.00%,20.82%,10.97%,1.68%,1.70%,-,28.56K,1.25,-,0.33,1.28%,-1.17%,0.86%,-10.70%,26.71%,54.03,-0.19%,0.73%
507,7,508,ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,USA,6.36B,31.85,123.35,0.77%,219673,508,6.36B,-,6.60%,13.60%,9.20%,2.80,2.80,0.60,0.60,27.30%,8.20%,5.60%,Jul 28/a,123.35,0.77%,219673,31.85,21.69,3.18,1.63,3.82,16.95,18.10,14.80%,11.21%,22.80%,10.00%,13.90%,53.20M,51.26M,0.80%,-14.90%,97.70%,-1.25%,1.36%,3.36,208.04K,6.34%,9.60%,27.32%,17.66%,73.46%,47.67%,2.67%,2.40%,2.10,208.04K,1.06,2.13,2.71,7.89%,12.13%,23.46%,0.72%,89.16%,73.41,1.00%,-0.23%
508,8,509,ASH,Ashland Global Holdings Inc.,Basic Materials,Chemicals,USA,5.50B,29.90,92.60,-0.36%,542322,509,5.50B,1.30%,2.70%,5.80%,-8.90%,2.10,1.20,0.49,0.52,30.40%,8.30%,7.60%,Jul 27/a,92.60,-0.36%,542322,29.90,17.86,3.15,2.29,1.76,20.98,15.36,69.60%,17.84%,-37.50%,9.50%,-15.50%,61.00M,60.45M,0.47%,-1.25%,96.20%,-2.30%,9.64%,15.37,379.18K,1.57%,-1.23%,4.72%,3.94%,25.82%,16.92%,2.03%,2.02%,2.00,379.18K,1.43,1.25,2.00,1.75%,4.67%,5.48%,-3.50%,35.84%,57.80,-0.32%,-0.03%
509,9,510,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Financial,Exchange Traded Fund,USA,-,-,38.83,1.97%,3865628,510,-,0.77%,-,-,-,-,-,-,-,-,-,-,-,38.83,1.97%,3865628,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.50M,2.83%,-0.67%,-3.05%,2.72%,10.46%,-3.07%,0.96%,0.82%,-,3.50M,1.10,-,0.55,2.36%,1.71%,-2.75%,-16.35%,10.77%,56.94,0.08%,1.89%
510,10,511,ASHS,Xtrackers Harvest CSI 500 China-A Shares Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,40.24,0.11%,6309,511,-,0.40%,-,-,-,-,-,-,-,-,-,-,-,40.24,0.11%,6309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.04K,0.92%,-7.01%,3.52%,16.37%,17.82%,13.98%,0.48%,0.53%,-,14.04K,0.45,-,0.50,-2.58%,-0.92%,7.00%,-7.93%,21.03%,45.16,-0.11%,0.22%
511,11,512,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,USA,1.17B,12.91,44.21,-0.90%,151310,512,1.17B,1.13%,7.90%,21.10%,7.50%,1.20,0.70,0.37,0.00,14.50%,9.10%,6.80%,Jul 30/b,44.21,-0.90%,151310,12.91,10.15,1.29,0.82,2.38,272.77,8.59,14.40%,-4.39%,-4.80%,10.00%,-2.70%,28.13M,27.37M,1.60%,-1.04%,86.70%,-0.71%,2.39%,2.88,226.85K,4.94%,17.89%,48.01%,52.24%,204.27%,121.16%,3.22%,3.42%,1.50,226.85K,0.67,1.73,1.44,12.97%,19.16%,47.33%,-1.62%,217.37%,74.92,-1.76%,0.87%
512,12,513,ASLE,AerSale Corporation,Industrials,Airports & Air Services,USA,737.83M,2.07,17.32,-1.70%,116899,513,737.83M,-,10.10%,11.00%,2.70%,6.50,6.50,0.00,0.00,28.80%,-,9.80%,Aug 06/b,17.32,-1.70%,116899,2.07,18.31,-,2.05,1.97,17.65,-,114.60%,72.00%,-,-,-,42.60M,34.42M,16.60%,0.00%,77.70%,2.24%,2.18%,9.31,80.64K,1.05%,30.62%,39.79%,38.23%,69.47%,29.16%,3.25%,4.31%,3.00,80.64K,1.45,-,0.64,14.20%,25.67%,35.13%,-5.61%,99.54%,74.61,-1.20%,-0.51%
513,13,514,ASLEW,AerSale Corporation,Industrials,Airports & Air Services,USA,-,-,6.64,0.45%,104171,514,-,-,-,-,-,-,-,-,-,-,-,-,-,6.64,0.45%,104171,-,-,-,-,-,-,-,-,-,-,-,-,-,6.81M,-,-,-,-,-,-,100.02K,7.44%,85.99%,121.34%,165.60%,1303.81%,256.99%,5.56%,6.27%,-,100.02K,1.04,-,0.35,35.32%,67.79%,130.96%,-2.06%,2786.96%,83.32,0.15%,0.30%
514,14,515,ASLN,ASLAN Pharmaceuticals Limited,Healthcare,Biotechnology,Singapore,112.52M,-,1.61,-1.23%,510806,515,112.52M,-,-37.50%,-63.80%,-,18.50,18.50,0.20,0.21,-,-,-,-,1.61,-1.23%,510806,-,-,-,-,1.49,1.20,-,70.90%,14.90%,60.00%,-,-,69.89M,47.93M,-,-,40.10%,0.88%,2.89%,0.93,1.49M,-9.04%,-48.40%,-48.23%,-47.56%,-17.01%,-12.02%,7.75%,8.53%,2.00,1.49M,0.34,2.49,0.22,-35.48%,-39.73%,-45.76%,-76.15%,13.38%,25.29,0.62%,-1.84%
515,15,516,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Silver,Canada,105.11M,-,0.82,1.32%,495068,516,105.11M,-,-,-,-,10.20,9.60,0.00,0.02,-,-,-,Aug 11/a,0.82,1.32%,495068,-,5.47,-,11.76,0.85,3.09,-,-25.00%,400.00%,-20.94%,-,-,100.51M,95.44M,3.09%,0.00%,2.85%,-,2.70%,4.80,536.64K,-0.65%,-16.35%,-24.02%,-32.74%,-14.99%,-36.88%,3.56%,4.76%,2.00,536.64K,0.92,1.06,0.04,-2.57%,-12.68%,-30.80%,-70.90%,6.65%,40.86,-1.13%,2.48%
516,16,517,ASMB,"Assembly Biosciences, Inc.",Healthcare,Biotechnology,USA,148.81M,-,3.29,-0.30%,446801,517,148.81M,-,-33.10%,-37.80%,-,14.80,14.80,0.00,0.00,-,-,-,Aug 05/a,3.29,-0.30%,446801,-,-,-,4.18,0.61,0.75,-,52.80%,-0.40%,0.60%,17.00%,-,42.88M,-,0.50%,-6.72%,60.70%,-5.73%,-,1.90,831.83K,-4.91%,4.78%,-8.10%,-22.77%,-79.00%,-45.62%,3.38%,3.56%,2.30,831.83K,0.54,0.40,0.13,-1.23%,-4.91%,-25.25%,-80.20%,6.47%,42.24,-0.30%,0.00%
517,17,518,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,304.73B,54.89,730.27,-2.22%,1023235,518,304.73B,0.45%,17.70%,35.90%,18.90%,1.90,1.30,0.38,0.00,51.20%,33.30%,28.80%,Oct 20/b,730.27,-2.22%,1023235,54.89,37.22,1.84,15.85,21.46,48.97,43.48,37.90%,23.09%,21.50%,29.80%,17.30%,411.50M,409.68M,0.40%,0.00%,19.20%,-0.02%,0.22%,1.12,804.02K,-1.56%,-14.44%,3.17%,15.84%,91.73%,49.73%,2.45%,2.24%,1.90,804.02K,1.27,1.09,23.24,-10.62%,-9.88%,10.04%,-18.49%,104.34%,33.93,-2.55%,0.34%
518,18,519,ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,Denmark,9.44B,-,169.27,1.21%,107019,519,9.44B,-,-47.70%,-55.80%,-35.50%,8.30,8.30,0.14,0.15,-,-,-,Aug 25/a,169.27,1.21%,107019,-,-,-,1600.32,11.44,14.81,-,-76.60%,1.30%,-43.00%,24.00%,-3.10%,53.85M,42.97M,0.03%,0.00%,99.10%,0.93%,5.73%,10.53,233.78K,4.33%,6.82%,35.63%,37.21%,5.16%,1.49%,3.11%,3.69%,1.70,233.78K,0.46,0.79,6.22,5.71%,16.91%,19.06%,-8.00%,54.78%,63.81,0.82%,0.39%
519,19,520,ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,USA,3.79B,7.34,40.68,-2.96%,1712285,520,3.79B,-,11.10%,42.80%,20.70%,1.50,0.50,0.47,0.47,34.00%,11.20%,8.20%,Sep 09/b,40.68,-2.96%,1712285,7.34,7.40,0.18,0.60,2.60,6.84,6.50,178.30%,-13.74%,32.70%,41.90%,4.10%,93.10M,92.28M,1.30%,-98.58%,97.30%,4.47%,11.89%,4.33,2.53M,1.22%,-7.69%,0.62%,25.98%,206.33%,96.24%,3.70%,3.80%,1.80,2.53M,0.68,-,1.74,-4.86%,0.26%,23.94%,-14.63%,217.81%,44.93,-3.00%,0.05%
520,0,521,ASPCU,Alpha Capital Acquisition Company,Financial,Shell Companies,USA,-,-,9.95,0.25%,707,521,-,-,-,-,-,-,-,-,-,-,-,-,-,9.95,0.25%,707,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.86%,-,-,7.78,4.07K,-1.63%,0.05%,-0.45%,-2.78%,-,-4.92%,0.03%,2.09%,-,4.07K,0.17,-,0.24,-0.09%,-0.61%,-0.94%,-6.00%,28.45%,49.12,0.15%,0.10%
521,1,522,ASPN,"Aspen Aerogels, Inc.",Industrials,Building Products & Equipment,USA,1.52B,-,47.68,-1.24%,101057,522,1.52B,-,-21.40%,-30.20%,-30.10%,4.70,4.40,0.00,0.03,13.40%,-23.90%,-24.20%,Oct 28/a,47.68,-1.24%,101057,-,-,-,14.24,9.24,14.90,-,-36.80%,19.60%,-24.30%,-,-3.90%,28.50M,26.36M,14.90%,-1.74%,88.80%,17.24%,2.05%,2.34,231.42K,0.53%,13.55%,31.71%,160.55%,331.49%,185.68%,5.34%,5.13%,1.70,231.42K,0.44,1.48,2.34,5.27%,13.43%,74.47%,-7.54%,368.83%,60.28,-1.57%,0.33%
522,2,523,ASPS,Altisource Portfolio Solutions S.A.,Financial,Mortgage Finance,Luxembourg,222.86M,-,14.24,21.19%,456616,523,222.86M,-,-23.50%,62.50%,-33.30%,1.00,1.00,-,-,9.40%,-22.60%,-24.80%,Jul 29/b,14.24,21.19%,456616,-,-,-,0.91,-,-,-,76.60%,99.60%,-32.80%,20.00%,-19.00%,15.83M,9.26M,0.50%,0.00%,38.40%,-14.62%,6.33%,5.38,108.96K,41.83%,24.48%,56.66%,63.68%,8.62%,10.56%,9.04%,6.06%,2.50,108.96K,4.19,1.53,0.79,38.67%,45.63%,55.36%,-3.52%,153.83%,80.44,20.58%,0.51%
